Istasyon,Tarih,PM10,CO,NO2,NOX,NO
Besirli,1/1/2019,26.415280681818,711.52210416667,39.196416291667,63.967098945833,24.7706833875
Besirli,1/2/2019,45.98357625,832.97853333333,57.024449166667,98.486241291667,41.46179275
Besirli,1/3/2019,62.493232916667,771.78085833333,63.012699318182,109.78615492727,46.773449304545
Besirli,1/4/2019,49.867487391304,614.58104166667,48.453691666667,72.458342441667,24.004650083333
Besirli,1/5/2019,27.560279304348,657.83774583333,40.670987291667,68.71397895,28.042990820833
Besirli,1/6/2019,33.481122173913,758.76860416667,48.95499375,71.482511675,22.527518041667
Besirli,1/7/2019,28.14520375,524.2989,39.937569041667,59.100448970833,19.162880408333
Besirli,1/8/2019,34.352497125,666.99200833333,50.521945416667,84.481404383333,33.959459454167
Besirli,1/9/2019,25.715087695652,540.96207083333,43.467971333333,71.968216870833,28.500243716667
Besirli,1/10/2019,56.757049478261,991.44206666667,65.3182175,121.8128689125,56.4946535
Besirli,1/11/2019,62.547392916667,914.29559130435,70.985072083333,138.08135185833,67.096285929167
Besirli,1/12/2019,41.732985458333,722.95691666667,53.385491666667,75.5804916625,22.194998541667
Besirli,1/13/2019,48.62625625,779.8786,54.840422083333,80.748033458333,25.907610875
Besirli,1/14/2019,56.184379565217,869.20745416667,61.089710833333,110.34927827083,49.259567058333
Besirli,1/15/2019,91.2587675,1069.1548166667,78.835421363636,187.26344056364,108.42802292273
Besirli,1/16/2019,25.826786086957,381.02060416667,41.536244761905,66.371068038095,24.834823914286
Besirli,1/17/2019,32.11316447619,596.24619166667,53.351431727273,92.667364145455,39.315930354545
Besirli,1/18/2019,43.505263,759.066875,52.811954166667,85.566510879167,32.754559229167
Besirli,1/19/2019,43.061660833333,808.33049166667,52.447904583333,75.141679029167,22.693775475
Besirli,1/20/2019,44.373500416667,749.02038333333,52.778145833333,77.1075156875,24.329368416667
Besirli,1/21/2019,60.395609583333,870.71628695652,60.56658125,95.3911820625,34.824599770833
Besirli,1/22/2019,39.374321666667,690.187175,52.437385833333,81.475566233333,29.038182041667
Besirli,1/23/2019,45.000067125,857.04417083333,54.76076375,109.49658212083,54.735823516667
Besirli,1/24/2019,80.748489166667,726.1583875,63.963225652174,143.88255703913,79.919339717391
Besirli,1/25/2019,69.983426956522,682.91430833333,64.937059090909,99.363539145455,34.426477713636
Besirli,1/26/2019,89.850561304348,928.46481666667,78.787998333333,166.96489240833,88.176885458333
Besirli,1/27/2019,69.368116666667,659.80946666667,57.843498333333,84.3803917875,26.536893
Besirli,1/28/2019,83.80547125,606.73295833333,44.526820454545,65.567040518182,21.040221113636
Besirli,1/29/2019,103.35859833333,894.26694166667,56.654394583333,97.7537287,41.099335233333
