Istasyon,Tarih,PM10,SO2,CO,NO2,NOX,NO
Fatih,1/1/2019,41.5940575,9.7947072916667,,56.991522916667,105.7923283625,48.800804875
Fatih,1/2/2019,98.720574166667,19.4632705,,80.58502625,219.765450075,139.18042966667
Fatih,1/3/2019,93.476147083333,17.311260166667,,74.781324166667,165.9953893375,91.214071083333
Fatih,1/4/2019,46.686214583333,8.3268245,,45.128827083333,61.6022750625,16.473447708333
Fatih,1/5/2019,28.82876375,8.2495743333333,,45.057009047619,74.2498853,29.192880533333
Fatih,1/6/2019,45.490855833333,10.702057375,,57.179625833333,89.6048290875,32.425203125
Fatih,1/7/2019,32.385357083333,7.0492599583333,,38.148702208333,55.306366758333,17.157664570833
Fatih,1/8/2019,30.724639130435,7.8309087083333,,44.566364583333,60.996529795833,16.430165958333
Fatih,1/9/2019,31.662430416667,8.29850675,,40.258494166667,54.943751583333,14.6852590625
Fatih,1/10/2019,111.92503125,20.122868391304,,95.175132173913,285.38580843913,190.21066504348
Fatih,1/11/2019,154.35089708333,24.003747875,,112.12344875,318.81287514583,206.68942783333
Fatih,1/12/2019,62.539825833333,10.728424708333,,66.326244583333,126.20299437917,59.876748208333
Fatih,1/13/2019,70.572735833333,10.765902583333,,62.45573875,100.6971886125,38.241453958333
Fatih,1/14/2019,104.60141375,14.098806833333,,83.498521666667,229.24889718333,145.75037175
Fatih,1/15/2019,102.86585625,20.421064791667,,86.183852916667,195.6410622625,109.457208875
Fatih,1/16/2019,31.800655833333,5.569013625,,34.374850434783,44.519223647826,10.144372704348
Fatih,1/17/2019,24.246443875,6.693984,,39.849172956522,53.798429043478,13.949256986957
Fatih,1/18/2019,57.718399583333,10.489922541667,1343.4047125,61.910640416667,141.58476424583,79.674121708333
Fatih,1/19/2019,96.587865833333,11.5342935,1744.3559083333,83.280324166667,242.99318700833,159.71285558333
Fatih,1/20/2019,97.739854166667,14.688421875,1565.088405,92.79798625,247.38390688333,154.58592625
Fatih,1/21/2019,135.75384708333,17.018790833333,1566.0981434783,105.862785,322.886585075,217.023800375
Fatih,1/22/2019,52.192834166667,8.1075035416667,,51.154307916667,79.312481641667,28.158173541667
Fatih,1/23/2019,78.6306675,13.867981708333,1122.5069625,70.820915416667,214.36072992917,143.53981310833
Fatih,1/24/2019,114.1840475,14.595621347826,1020.1002,79.022203043478,197.10286353913,118.08065734783
Fatih,1/25/2019,82.803662608696,,,73.457182916667,187.5573642625,114.10018767083
Fatih,1/26/2019,113.15497291667,,1185.0595166667,95.769809166667,235.7295206,139.9597
Fatih,1/27/2019,69.056843695652,,980.621235,69.510447391304,141.35502972609,71.844585608696
Fatih,1/28/2019,87.691244166667,,519.61524782609,40.873459208333,78.2428726,37.3694132875
Fatih,1/29/2019,110.43919541667,,1011.3046375,56.885769583333,150.01574391667,93.129973170833
Fatih,1/30/2019,152.82349916667,,1964.9663375,105.57016875,322.30831305417,216.73813625
Fatih,1/31/2019,108.5983175,,1318.9869208333,87.332779166667,222.56591218333,135.23314275
Fatih,2/1/2019,60.594095,,816.98410454545,65.519212291667,125.23341594167,59.7142069625
Fatih,2/2/2019,35.5228675,,734.984925,47.2893925,77.827788029167,30.5383966
Fatih,2/3/2019,74.750040833333,,,67.059726666667,154.24894051667,87.1892135
Fatih,2/4/2019,127.72210375,,,87.00424,276.65910397391,189.65487217391
Fatih,2/5/2019,126.69021875,,1521.5686,91.210745833333,285.7820637625,194.57131208333
Fatih,2/6/2019,126.69007666667,,1307.1905958333,97.838652083333,282.13559190417,184.29694125
Fatih,2/7/2019,47.333889583333,,,50.687206086957,67.661248647826,16.974042608696
Fatih,2/8/2019,33.959055833333,,,37.530884375,50.314838795833,12.783953308333
Fatih,2/9/2019,25.9945475,,,36.57203275,49.737845133333,13.1658125
Fatih,2/10/2019,19.6128145,,769.1728375,31.576061666667,38.5523437375,6.9762825
Fatih,2/11/2019,41.9235645,,1354.9714291667,40.117851458333,88.0391420875,47.921293270833
Fatih,2/12/2019,130.81926916667,,2155.1171583333,86.796642916667,280.89299460417,194.09635495833
Fatih,2/13/2019,60.953948333333,,1163.9596708333,50.303028333333,89.9071461125,39.60411725
Fatih,2/14/2019,32.2152325,,876.7428375,31.512755958333,38.855900866667,7.3431450666667
Fatih,2/15/2019,22.131811666667,,966.46012916667,32.97794425,47.120585779167,14.142640783333
Fatih,2/16/2019,28.1890425,,941.14392083333,31.95769375,44.096744054167,12.1390495125
Fatih,2/17/2019,27.475327916667,,403.41835714286,29.405027916667,33.928074404167,4.5230468041667
Fatih,2/18/2019,50.9838025,,619.86185416667,44.433136666667,84.455422929167,40.022289
Fatih,2/19/2019,33.57458125,,515.10627894737,36.987633166667,56.416395958333,19.428766695833
Fatih,2/20/2019,79.506595833333,,1275.83445,72.988214583333,188.1514939125,115.16328304167
Fatih,2/21/2019,80.73841625,,1000.2147333333,64.111780434783,134.35119039565,70.239409443478
Fatih,2/22/2019,65.833302083333,,852.760275,50.455804166667,68.8299067375,18.374102070833
Fatih,2/23/2019,78.525752083333,,997.84857083333,64.34715125,114.8269177625,50.479768083333
Fatih,2/24/2019,42.949534166667,,,31.529744166667,34.7467789125,3.2170338208333
Fatih,2/25/2019,25.9331075,,,29.526875333333,34.955322308333,5.4284470125
Fatih,2/26/2019,27.620074166667,,631.71292,32.772043043478,39.798061682609,7.0260191304348
Fatih,2/27/2019,24.998423333333,3.2030709583333,749.83325,30.0837705,38.0691157375,7.9853460083333
Fatih,2/28/2019,27.396652458333,4.4470970833333,762.84350833333,28.561505608696,36.503956556522,7.9424484130435
