Istasyon,Tarih,PM10,SO2,NO2,NOX,NO,O3
Uzungol,1/1/2019,,2.7162820833333,7.4358421666667,10.818458320833,3.3826163333333,43.218483333333
Uzungol,1/2/2019,,2.4348262083333,3.4893626666667,5.5639684333333,2.07460575,64.913620416667
Uzungol,1/3/2019,,3.306823375,3.634941,5.6718673583333,2.0369263333333,64.489917083333
Uzungol,1/4/2019,,2.6145446956522,4.7086604166667,6.6279812086957,1.9906137391304,62.53365625
Uzungol,1/5/2019,,2.1637086666667,4.8534130833333,7.075971625,2.2225584583333,54.4882075
Uzungol,1/6/2019,,2.7201165833333,5.86377725,8.6034194,2.7396421666667,58.823836666667
Uzungol,1/7/2019,,2.1939434166667,5.57605775,7.6334794208333,2.0574215416667,49.657549583333
Uzungol,1/8/2019,,2.3688459166667,5.1567716666667,7.1885240708333,2.0317524583333,50.70895
Uzungol,1/9/2019,,2.2334681666667,7.4278375833333,9.7288595833333,2.3010221666667,47.8652975
Uzungol,1/10/2019,,1.72659225,3.241514,5.0666920375,1.8251780833333,58.627750416667
Uzungol,1/11/2019,,1.8314671666667,3.1552490833333,5.1709715583333,2.0157225833333,59.3622875
Uzungol,1/12/2019,,2.352847875,4.542034,7.3828541166667,2.8408197916667,59.2431525
Uzungol,1/13/2019,,2.7447385,6.0114413333333,8.1552395416667,2.1437978333333,61.643659583333
Uzungol,1/14/2019,,3.2685906666667,5.1615609583333,7.1845516166667,2.0229906666667,65.146182916667
Uzungol,1/15/2019,,2.4327397083333,6.7979035833333,8.740195675,1.9422924166667,65.593461666667
Uzungol,1/16/2019,,1.98826725,7.6301197916667,9.6801330875,2.0500132916667,58.478080416667
Uzungol,1/17/2019,,1.9675109166667,6.2576557083333,8.4300948,2.1724391666667,56.222479166667
Uzungol,1/18/2019,,1.8263201304348,6.795164125,11.025129804348,4.1833969130435,48.948171666667
Uzungol,1/19/2019,,1.5656325416667,3.785167826087,6.0045508826087,2.2193830434783,66.834776666667
Uzungol,1/20/2019,,1.71611625,5.4925081666667,8.5668693333333,3.0743610416667,60.15875375
Uzungol,1/21/2019,,1.7162202083333,4.378393,7.5715252125,3.1931322916667,59.195854583333
Uzungol,1/22/2019,,2.4891809583333,6.6593637083333,9.0486544208333,2.389290875,50.535127083333
Uzungol,1/23/2019,,2.0814574166667,4.5692130833333,6.6484730375,2.0792598333333,55.559449166667
Uzungol,1/24/2019,,2.3438111666667,5.1371649583333,7.2676670333333,2.130502,63.600387083333
Uzungol,1/25/2019,,3.321605875,5.622365375,7.8072801625,2.1849148333333,60.992375416667
Uzungol,1/26/2019,,3.3303093333333,6.90518625,9.3737363291667,2.4685500833333,65.208992916667
Uzungol,1/27/2019,,2.9287206666667,7.100040875,9.3797869125,2.2797459166667,63.247132916667
Uzungol,1/28/2019,,1.95184425,6.08145525,8.1437774958333,2.0623224583333,53.812712083333
Uzungol,1/29/2019,,1.9965628333333,5.491320375,8.1821495416667,2.6908294166667,53.915838333333
