Istasyon,Tarih,PM10,SO2,NO2,NOX,NO
Meydan,1/1/2019,,,,,
Meydan,1/2/2019,,,,,
Meydan,1/3/2019,,,,,
Meydan,1/4/2019,,,,,
Meydan,1/5/2019,,,,,
Meydan,1/6/2019,,,,,
Meydan,1/7/2019,,,,,
Meydan,1/8/2019,,23.091639541667,53.85831,82.00399375,28.145680583333
Meydan,1/9/2019,,29.03221115,,,
Meydan,1/10/2019,,28.630842782609,,,
Meydan,1/11/2019,,44.439545666667,,,
Meydan,1/12/2019,,23.774844291667,,,
Meydan,1/13/2019,,24.341384681818,,,
Meydan,1/14/2019,,33.236985291667,,,
Meydan,1/15/2019,,68.739142565217,,,
Meydan,1/16/2019,,22.851490958333,45.35741,72.029550869565,26.672139565217
Meydan,1/17/2019,,45.51450995,34.459116666667,78.7047875,44.2456725
Meydan,1/18/2019,30.618138083333,25.453738086957,26.763941722222,88.070398888889,61.306455555556
Meydan,1/19/2019,72.090878375,46.018887,65.415955833333,138.9606825,73.5447255
Meydan,1/20/2019,60.260871125,37.436498636364,54.989410416667,100.92184083333,45.932440208333
Meydan,1/21/2019,85.066217166667,51.1213535,78.158537916667,189.81256083333,111.65402545833
Meydan,1/22/2019,,,,,
Meydan,1/23/2019,,,,,
Meydan,1/24/2019,90.610218333333,37.452565375,,,
Meydan,1/25/2019,69.761518333333,35.333336272727,,,
Meydan,1/26/2019,106.44934041667,49.797798416667,,,
Meydan,1/27/2019,72.5671025,29.0016365,,,
Meydan,1/28/2019,66.653107083333,11.9938652,,,
Meydan,1/29/2019,85.940969166667,,,,
Meydan,1/30/2019,150.33040083333,72.925830125,101.94456608696,271.68260956522,169.73805695652
Meydan,1/31/2019,74.159905,24.708556636364,72.007454166667,158.14994708333,86.142486416667
Meydan,2/1/2019,45.275933083333,20.252786304348,62.027114166667,114.30956083333,52.282448583333
Meydan,2/2/2019,31.781077291667,,52.096774166667,82.051845416667,29.955071833333
Meydan,2/3/2019,41.924757791667,19.92302985,49.922969166667,100.85982833333,50.936854583333
Meydan,2/4/2019,100.7738975,63.479851173913,84.914814166667,228.71918,143.8043625
Meydan,2/5/2019,129.81912125,60.296573043478,85.2257,238.1571973913,152.93149391304
Meydan,2/6/2019,125.36688166667,61.870766666667,92.564384166667,264.78401708333,172.21965166667
Meydan,2/7/2019,42.277709166667,15.533257142857,56.238245416667,90.886101666667,34.64785
Meydan,2/8/2019,29.990082083333,,39.112263333333,62.6733625,23.56110225
Meydan,2/9/2019,35.107824583333,17.037479157895,48.029239166667,85.436751666667,37.407512458333
Meydan,2/10/2019,28.427396458333,16.853730222222,43.611467916667,67.017351666667,23.405883333333
Meydan,2/11/2019,28.975649791667,9.3528296666667,35.03122,62.03513875,27.003917083333
Meydan,2/12/2019,94.14217625,18.82853155,69.866913333333,180.50564,110.63872833333
Meydan,2/13/2019,41.813765833333,14.026146041667,44.7824175,72.545385833333,27.7629725
Meydan,2/14/2019,39.004318333333,11.6290099,46.17792,75.324175416667,29.146255916667
